txn_ref_id,amount,source_system,exception_code,severity,description,risk_score
TXN-10066,713.21,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10087,3191.41,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10095,2474.04,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10072,37.56,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10073,4079.15,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10077,379.48,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10086,3650.73,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10097,2143.43,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10060,1949.5,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10067,4012.96,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10069,4934.57,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10074,3537.22,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10079,588.19,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10080,4316.89,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10083,327.16,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN-10099,548.38,SOURCE_A,MISSING_SRC_B,HIGH,Pending event never matched (Time-out),50.0
TXN10081,3120.26,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN10084,1561.8,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10065,2718.04,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10071,1001.61,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10076,3858.66,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN10082,1661.18,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10089,2466.35,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10068,382.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10070,3863.48,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10075,3647.73,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10085,1000000.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10088,4537.19,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10078,1798.72,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10087,3291.41,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10061,1364.04,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10062,4145.389999999999,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10063,1790.21,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10064,1411.84,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10066,713.19,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10086,1000000.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-EXTRA-0,500.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-EXTRA-1,500.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-EXTRA-2,500.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-EXTRA-3,500.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-EXTRA-4,500.0,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10072,37.54,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10073,4079.16,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10077,379.46,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN10080,4316.89,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN10083,327.16,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10060,1949.49,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10067,4012.98,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10069,4934.549999999999,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10074,3537.21,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
TXN-10079,588.2,SOURCE_B,MISSING_SRC_A,HIGH,Pending event never matched (Time-out),50.0
