txn_id,source_system,amount,currency,txn_date,settlement_delay,reference_similarity,match_probability,anomaly_score,sla_remaining,final_decision,override_flag,decision_cost
TXN_100021,SOURCE_A,413.0,USD,2026-01-23 16:20:22,0,0.69,0.69,0.48,145,OPS_REVIEW,0,0
TXN_100022,SOURCE_B,1311.15,USD,2026-01-30 09:53:56,2,0.73,0.73,0.64,97,OPS_REVIEW,0,0
TXN_100023,SOURCE_C,37456.4,USD,2026-01-01 00:30:31,1,0.78,0.78,0.99,134,EXCEPTION,1,2500
TXN_100024,SOURCE_B,687.54,USD,2026-01-15 23:26:47,3,0.87,0.87,0.23,366,OPS_REVIEW,0,0
TXN_100025,SOURCE_A,474.21,USD,2026-01-31 18:03:10,0,0.69,0.69,0.88,210,EXCEPTION,0,2000
TXN_100026,SOURCE_B,3520.04,USD,2026-01-17 17:51:17,2,0.63,0.63,0.19,83,OPS_REVIEW,0,0
TXN_100027,SOURCE_C,145.69,USD,2026-01-20 03:22:24,1,0.75,0.75,0.25,456,OPS_REVIEW,0,0
TXN_100028,SOURCE_C,1116.79,USD,2026-01-21 18:58:40,0,0.69,0.69,0.86,196,EXCEPTION,0,2000
TXN_100029,SOURCE_C,3706.76,USD,2026-01-07 04:41:20,0,0.64,0.64,0.53,416,OPS_REVIEW,0,0
TXN_100030,SOURCE_C,1085.73,USD,2026-01-12 00:13:44,1,0.51,0.51,0.15,189,OPS_REVIEW,0,0
TXN_100031,SOURCE_A,1234.92,USD,2026-01-28 12:54:59,3,0.85,0.85,0.81,74,EXCEPTION,0,2000
TXN_100032,SOURCE_C,1428.67,USD,2026-01-02 12:35:04,2,0.52,0.52,0.78,331,EXCEPTION,0,2000
TXN_100033,SOURCE_C,1954.93,USD,2026-01-24 20:27:08,0,0.91,0.91,0.95,353,EXCEPTION,1,2500
TXN_100034,SOURCE_C,4233.98,USD,2026-01-30 05:12:36,2,0.8,0.8,0.34,160,OPS_REVIEW,0,0
TXN_100035,SOURCE_A,1362.18,USD,2026-01-30 18:26:04,3,0.34,0.34,0.18,99,OPS_REVIEW,0,0
TXN_100036,SOURCE_A,1203.94,USD,2026-01-26 04:44:27,0,0.86,0.86,0.69,78,OPS_REVIEW,0,0
TXN_100037,SOURCE_C,1478.45,USD,2026-01-24 05:05:05,0,0.5,0.5,0.0,464,OPS_REVIEW,0,0
TXN_100038,SOURCE_A,9598.91,USD,2026-01-24 23:58:20,0,0.62,0.62,0.32,279,OPS_REVIEW,0,0
TXN_100039,SOURCE_B,1146.53,USD,2026-01-12 05:16:34,1,0.6,0.6,0.8,248,EXCEPTION,0,2000
TXN_100040,SOURCE_B,668.69,USD,2026-01-28 13:55:03,0,0.76,0.76,0.71,219,EXCEPTION,1,2500
TXN_100041,SOURCE_A,1916.47,USD,2026-01-05 20:40:42,2,0.47,0.47,0.99,243,EXCEPTION,0,2000
TXN_100042,SOURCE_C,2701.79,USD,2026-01-03 20:07:31,1,0.9,0.9,0.08,12,EXCEPTION,0,2000
TXN_100043,SOURCE_B,1962.87,USD,2026-01-30 10:19:57,2,0.83,0.83,0.89,443,EXCEPTION,0,2000
TXN_100044,SOURCE_C,2761.86,USD,2026-01-16 12:18:03,3,0.75,0.75,0.61,234,OPS_REVIEW,0,0
TXN_100045,SOURCE_C,258.47,USD,2026-01-18 12:24:51,0,0.58,0.58,0.37,296,OPS_REVIEW,0,0
TXN_100046,SOURCE_A,206.79,USD,2026-01-22 11:59:30,0,0.52,0.52,0.47,451,OPS_REVIEW,0,0
TXN_100047,SOURCE_A,14849.68,USD,2026-01-28 09:38:17,2,0.8,0.8,0.46,52,EXCEPTION,0,2000
TXN_100048,SOURCE_C,382.97,USD,2026-01-27 05:19:08,0,0.24,0.24,0.95,239,EXCEPTION,0,2000
TXN_100049,SOURCE_B,2184.19,USD,2026-01-16 05:57:51,1,0.67,0.67,0.53,377,OPS_REVIEW,0,0
TXN_100050,SOURCE_C,2172.89,USD,2026-01-16 20:41:49,3,0.17,0.17,0.99,407,EXCEPTION,0,2000
TXN_100051,SOURCE_B,216.48,USD,2026-01-23 18:55:33,2,0.64,0.64,0.49,94,OPS_REVIEW,1,500
TXN_100052,SOURCE_C,303.71,USD,2026-01-31 18:28:20,0,0.54,0.54,0.92,452,EXCEPTION,0,2000
TXN_100053,SOURCE_C,1703.25,USD,2026-01-14 22:14:43,0,0.74,0.74,0.83,381,EXCEPTION,0,2000
TXN_100054,SOURCE_C,269.57,USD,2026-01-18 16:02:24,0,0.49,0.49,0.66,227,OPS_REVIEW,1,500
TXN_100055,SOURCE_A,866.93,USD,2026-01-02 18:32:43,0,0.95,0.95,0.32,447,OPS_REVIEW,0,0
TXN_100056,SOURCE_B,223.3,USD,2026-01-12 23:35:53,0,0.93,0.93,0.38,344,OPS_REVIEW,0,0
TXN_100057,SOURCE_C,2805.19,USD,2026-01-07 14:25:35,3,0.95,0.95,0.89,94,EXCEPTION,0,2000
TXN_100058,SOURCE_A,266.2,USD,2026-01-16 02:15:10,2,0.78,0.78,0.05,142,OPS_REVIEW,0,0
TXN_100059,SOURCE_C,157.05,USD,2026-01-27 10:54:28,0,0.44,0.44,0.56,338,OPS_REVIEW,0,0
TXN_100060,SOURCE_B,4495.61,USD,2026-01-01 17:05:21,0,0.75,0.75,0.3,234,OPS_REVIEW,0,0
TXN_100061,SOURCE_C,830.05,USD,2026-01-14 03:45:32,0,0.52,0.52,0.07,21,EXCEPTION,0,2000
TXN_100062,SOURCE_B,476.59,USD,2026-01-22 22:17:08,1,0.72,0.72,0.14,18,EXCEPTION,0,2000
TXN_100063,SOURCE_B,1787.01,USD,2026-01-22 02:16:06,0,0.77,0.77,0.64,17,EXCEPTION,0,2000
TXN_100064,SOURCE_C,3457.49,USD,2026-01-08 20:25:24,0,0.7,0.7,0.8,10,EXCEPTION,0,2000
TXN_100065,SOURCE_A,491.1,USD,2026-01-09 15:52:58,0,0.71,0.71,0.39,111,OPS_REVIEW,0,0
TXN_100066,SOURCE_C,1374.33,USD,2026-01-31 06:39:20,1,0.73,0.73,0.31,140,OPS_REVIEW,0,0
TXN_100067,SOURCE_C,662.88,USD,2026-01-07 01:29:22,2,0.74,0.74,0.26,308,OPS_REVIEW,0,0
TXN_100068,SOURCE_C,642.88,USD,2026-01-25 14:08:15,0,0.74,0.74,0.63,336,OPS_REVIEW,0,0
TXN_100069,SOURCE_B,1276.49,USD,2026-01-25 16:08:46,2,0.75,0.75,0.29,66,OPS_REVIEW,0,0
TXN_100070,SOURCE_B,398.2,USD,2026-01-12 01:35:00,0,0.79,0.79,0.4,396,OPS_REVIEW,0,0
TXN_100071,SOURCE_C,120.42,USD,2026-01-18 21:48:32,0,0.74,0.74,0.57,359,OPS_REVIEW,0,0
TXN_100072,SOURCE_C,2544.12,USD,2026-01-05 02:41:57,3,0.74,0.74,0.14,286,OPS_REVIEW,0,0
TXN_100073,SOURCE_C,1122.17,USD,2026-01-10 08:27:52,2,0.81,0.81,0.44,98,OPS_REVIEW,0,0
TXN_100074,SOURCE_A,256.82,USD,2026-01-22 15:33:43,0,0.75,0.75,0.41,423,OPS_REVIEW,0,0
TXN_100075,SOURCE_A,1004.2,USD,2026-01-28 06:10:45,3,0.91,0.91,0.26,115,AUTO_RECONCILED,0,0
TXN_100076,SOURCE_C,5416.11,USD,2026-01-22 19:04:51,0,0.78,0.78,0.33,207,OPS_REVIEW,0,0
TXN_100077,SOURCE_B,761.6,USD,2026-01-07 04:52:08,1,0.73,0.73,0.05,147,OPS_REVIEW,0,0
TXN_100078,SOURCE_C,435.04,USD,2026-01-23 08:12:33,2,0.66,0.66,0.05,11,EXCEPTION,0,2000
TXN_100079,SOURCE_B,96.14,USD,2026-01-10 07:35:23,3,0.75,0.75,0.73,357,EXCEPTION,0,2000
TXN_100080,SOURCE_B,1259.27,USD,2026-01-19 23:06:23,1,0.54,0.54,0.12,460,OPS_REVIEW,0,0
TXN_100081,SOURCE_B,277.59,USD,2026-01-25 19:18:49,2,0.33,0.33,0.12,390,OPS_REVIEW,0,0
TXN_100082,SOURCE_A,524.16,USD,2026-01-28 15:48:17,2,0.25,0.25,0.96,234,EXCEPTION,0,2000
TXN_100083,SOURCE_B,2251.96,USD,2026-01-28 01:06:17,1,0.43,0.43,0.65,369,OPS_REVIEW,0,0
TXN_100084,SOURCE_C,1604.72,USD,2026-01-24 09:59:09,2,0.69,0.69,0.84,92,EXCEPTION,0,2000
TXN_100085,SOURCE_A,331.68,USD,2026-01-02 23:55:23,2,0.64,0.64,0.23,428,OPS_REVIEW,0,0
TXN_100086,SOURCE_C,7344.55,USD,2026-01-04 12:09:58,2,0.86,0.86,0.72,388,EXCEPTION,0,2000
TXN_100087,SOURCE_C,780.37,USD,2026-01-07 10:21:50,2,0.79,0.79,0.52,93,OPS_REVIEW,1,500
TXN_100088,SOURCE_B,11281.13,USD,2026-01-02 08:32:04,0,0.6,0.6,0.83,419,EXCEPTION,0,2000
TXN_100089,SOURCE_A,2756.71,USD,2026-01-27 11:53:48,3,0.8,0.8,0.07,178,OPS_REVIEW,0,0
TXN_100090,SOURCE_A,2468.59,USD,2026-01-27 11:38:25,3,0.93,0.93,0.01,126,AUTO_RECONCILED,0,0
TXN_100091,SOURCE_C,3405.73,USD,2026-01-08 03:42:36,0,0.82,0.82,0.86,77,EXCEPTION,0,2000
TXN_100092,SOURCE_C,3161.57,USD,2026-01-03 23:11:25,3,0.91,0.91,0.97,320,EXCEPTION,0,2000
TXN_100093,SOURCE_C,861.3,USD,2026-01-18 19:23:06,0,0.69,0.69,0.1,88,OPS_REVIEW,0,0
TXN_100094,SOURCE_B,633.58,USD,2026-01-05 06:08:41,0,0.61,0.61,0.78,41,EXCEPTION,0,2000
TXN_100095,SOURCE_B,536.88,USD,2026-01-08 00:54:36,1,0.63,0.63,0.63,295,OPS_REVIEW,1,500
TXN_100096,SOURCE_B,369.03,USD,2026-01-10 00:37:52,0,0.83,0.83,0.82,11,EXCEPTION,0,2000
TXN_100097,SOURCE_A,69.78,USD,2026-01-18 08:44:39,1,0.61,0.61,0.39,186,OPS_REVIEW,0,0
TXN_100098,SOURCE_C,1276.63,USD,2026-01-31 21:28:43,0,0.6,0.6,0.77,358,EXCEPTION,0,2000
TXN_100099,SOURCE_C,1778.97,USD,2026-01-29 16:26:47,3,0.73,0.73,0.37,353,OPS_REVIEW,1,500
TXN_100100,SOURCE_A,4046.49,USD,2026-01-27 16:47:25,2,0.85,0.85,0.57,235,OPS_REVIEW,0,0
TXN_100101,SOURCE_A,1671.31,USD,2026-01-11 03:52:12,3,0.83,0.83,0.82,246,EXCEPTION,0,2000
TXN_100102,SOURCE_A,1470.09,USD,2026-01-30 04:17:54,2,0.79,0.79,0.86,260,EXCEPTION,0,2000
TXN_100103,SOURCE_B,2509.91,USD,2026-01-01 14:56:27,3,0.82,0.82,0.65,302,OPS_REVIEW,0,0
TXN_100104,SOURCE_C,1057.84,USD,2026-01-13 11:52:39,3,0.6,0.6,0.25,267,OPS_REVIEW,0,0
TXN_100105,SOURCE_C,820.61,USD,2026-01-10 01:18:58,0,0.77,0.77,0.38,321,OPS_REVIEW,0,0
TXN_100106,SOURCE_A,1850.79,USD,2026-01-25 20:25:55,2,0.84,0.84,0.69,283,OPS_REVIEW,0,0
TXN_100107,SOURCE_C,1576.35,USD,2026-01-07 21:29:06,0,0.82,0.82,0.27,389,OPS_REVIEW,0,0
TXN_100108,SOURCE_B,1124.79,USD,2026-01-31 04:30:44,0,0.96,0.96,0.95,459,EXCEPTION,0,2000
TXN_100109,SOURCE_B,423.55,USD,2026-01-08 00:57:50,0,0.71,0.71,0.75,57,EXCEPTION,0,2000
TXN_100110,SOURCE_C,519.96,USD,2026-01-25 18:58:00,0,0.4,0.4,0.06,456,OPS_REVIEW,0,0
TXN_100111,SOURCE_C,5108.93,USD,2026-01-17 10:47:08,0,0.77,0.77,0.11,343,OPS_REVIEW,0,0
TXN_100112,SOURCE_C,1323.32,USD,2026-01-18 02:44:14,0,0.71,0.71,0.17,162,OPS_REVIEW,0,0
TXN_100113,SOURCE_B,1991.68,USD,2026-01-19 19:42:00,1,0.77,0.77,0.56,328,OPS_REVIEW,0,0
TXN_100114,SOURCE_C,4344.42,USD,2026-01-02 00:13:20,3,0.87,0.87,0.68,444,OPS_REVIEW,1,500
TXN_100115,SOURCE_A,2173.28,USD,2026-01-11 05:24:20,2,0.67,0.67,0.98,431,EXCEPTION,0,2000
TXN_100116,SOURCE_A,1072.08,USD,2026-01-12 06:46:32,2,0.92,0.92,0.05,177,AUTO_RECONCILED,0,0
TXN_100117,SOURCE_A,945.31,USD,2026-01-13 07:41:37,1,0.52,0.52,0.59,184,OPS_REVIEW,0,0
TXN_100118,SOURCE_B,4008.62,USD,2026-01-24 07:39:52,1,0.79,0.79,0.52,297,OPS_REVIEW,0,0
TXN_100119,SOURCE_A,1715.82,USD,2026-01-26 23:40:56,0,0.67,0.67,0.87,254,EXCEPTION,0,2000
TXN_100120,SOURCE_B,3927.07,USD,2026-01-23 01:10:35,2,0.7,0.7,0.88,95,EXCEPTION,0,2000
TXN_100121,SOURCE_C,862.07,USD,2026-01-05 20:12:40,3,0.76,0.76,0.06,417,OPS_REVIEW,0,0
TXN_100122,SOURCE_C,1886.15,USD,2026-01-13 21:18:28,1,0.92,0.92,0.31,63,OPS_REVIEW,0,0
TXN_100123,SOURCE_A,927.51,USD,2026-01-07 22:01:25,3,0.94,0.94,0.76,467,EXCEPTION,0,2000
TXN_100124,SOURCE_C,346.94,USD,2026-01-06 16:55:10,0,0.86,0.86,0.16,302,OPS_REVIEW,0,0
TXN_100125,SOURCE_C,228.26,USD,2026-01-31 17:31:37,1,0.92,0.92,0.72,190,EXCEPTION,0,2000
TXN_100126,SOURCE_A,680.94,USD,2026-01-03 21:10:51,3,0.77,0.77,0.85,101,EXCEPTION,0,2000
TXN_100127,SOURCE_C,528.09,USD,2026-01-06 02:48:54,1,0.64,0.64,0.85,387,EXCEPTION,1,2500
TXN_100128,SOURCE_B,752.04,USD,2026-01-12 11:23:38,0,0.85,0.85,0.78,223,EXCEPTION,0,2000
TXN_100129,SOURCE_A,1101.68,USD,2026-01-30 18:43:40,2,0.83,0.83,0.29,233,OPS_REVIEW,0,0
TXN_100130,SOURCE_C,192.18,USD,2026-01-26 05:46:54,1,0.94,0.94,0.71,74,EXCEPTION,0,2000
TXN_100131,SOURCE_B,1144.75,USD,2026-01-12 15:41:48,1,0.64,0.64,0.63,453,OPS_REVIEW,0,0
TXN_100132,SOURCE_A,3593.95,USD,2026-01-30 05:52:28,3,0.53,0.53,0.33,140,OPS_REVIEW,0,0
TXN_100133,SOURCE_C,6177.67,USD,2026-01-26 04:36:41,0,0.75,0.75,0.07,101,OPS_REVIEW,0,0
TXN_100134,SOURCE_A,984.35,USD,2026-01-13 02:46:58,2,0.64,0.64,0.81,227,EXCEPTION,0,2000
TXN_100135,SOURCE_A,4518.08,USD,2026-01-15 19:36:45,0,0.62,0.62,0.96,210,EXCEPTION,0,2000
TXN_100136,SOURCE_A,286.45,USD,2026-01-24 22:55:31,2,0.6,0.6,0.73,197,EXCEPTION,0,2000
TXN_100137,SOURCE_B,1441.94,USD,2026-01-29 01:16:39,3,0.63,0.63,0.83,337,EXCEPTION,1,2500
TXN_100138,SOURCE_B,2327.25,USD,2026-01-15 09:47:36,0,0.83,0.83,0.45,467,OPS_REVIEW,0,0
TXN_100139,SOURCE_B,8493.5,USD,2026-01-04 23:29:31,0,0.6,0.6,0.87,317,EXCEPTION,0,2000
TXN_100140,SOURCE_C,352.03,USD,2026-01-25 04:52:39,3,0.91,0.91,0.36,439,OPS_REVIEW,0,0
TXN_100141,SOURCE_A,1465.3,USD,2026-01-31 20:15:27,0,0.71,0.71,0.0,78,OPS_REVIEW,0,0
TXN_100142,SOURCE_B,828.58,USD,2026-01-29 00:38:35,2,0.86,0.86,0.25,56,EXCEPTION,0,2000
TXN_100143,SOURCE_A,272.62,USD,2026-01-19 22:32:35,0,0.48,0.48,0.9,431,EXCEPTION,0,2000
TXN_100144,SOURCE_A,330.45,USD,2026-01-24 01:24:52,2,0.78,0.78,0.34,307,OPS_REVIEW,0,0
TXN_100145,SOURCE_A,78.04,USD,2026-01-05 23:59:42,2,0.7,0.7,0.14,449,OPS_REVIEW,0,0
TXN_100146,SOURCE_A,1269.41,USD,2026-01-16 23:50:42,1,0.84,0.84,0.3,147,OPS_REVIEW,1,500
TXN_100147,SOURCE_A,202.29,USD,2026-01-23 16:27:31,1,0.44,0.44,0.18,151,OPS_REVIEW,0,0
TXN_100148,SOURCE_B,1197.81,USD,2026-01-09 22:32:07,0,0.82,0.82,0.09,226,OPS_REVIEW,0,0
TXN_100149,SOURCE_A,478.75,USD,2026-01-15 01:58:42,0,0.81,0.81,0.81,174,EXCEPTION,0,2000
TXN_100150,SOURCE_B,295.32,USD,2026-01-27 17:10:13,0,0.93,0.93,0.64,218,OPS_REVIEW,0,0
TXN_100151,SOURCE_A,685.32,USD,2026-01-05 14:13:30,0,0.59,0.59,0.24,467,OPS_REVIEW,0,0
TXN_100152,SOURCE_B,1208.31,USD,2026-01-10 17:30:32,0,0.31,0.31,0.23,270,OPS_REVIEW,0,0
TXN_100153,SOURCE_C,159.75,USD,2026-01-21 01:21:01,3,0.67,0.67,0.73,143,EXCEPTION,1,2500
TXN_100154,SOURCE_A,1226.19,USD,2026-01-22 16:58:54,0,0.5,0.5,0.29,271,OPS_REVIEW,0,0
TXN_100155,SOURCE_A,96.1,USD,2026-01-06 06:10:47,0,0.44,0.44,0.88,358,EXCEPTION,0,2000
TXN_100156,SOURCE_C,461.65,USD,2026-01-20 09:21:14,0,0.72,0.72,0.72,419,EXCEPTION,1,2500
TXN_100157,SOURCE_C,510.88,USD,2026-01-25 09:52:45,0,0.96,0.96,0.56,146,OPS_REVIEW,0,0
TXN_100158,SOURCE_A,6654.76,USD,2026-01-02 17:01:40,2,0.5,0.5,0.17,317,OPS_REVIEW,0,0
TXN_100159,SOURCE_A,1762.57,USD,2026-01-01 23:56:25,0,0.55,0.55,0.2,208,OPS_REVIEW,1,500
TXN_100160,SOURCE_A,2654.84,USD,2026-01-25 07:51:07,1,0.85,0.85,0.69,188,OPS_REVIEW,0,0
TXN_100161,SOURCE_B,4240.42,USD,2026-01-06 08:25:50,1,0.68,0.68,0.25,152,OPS_REVIEW,0,0
TXN_100162,SOURCE_C,31.3,USD,2026-01-24 02:47:34,2,0.54,0.54,0.7,390,OPS_REVIEW,1,500
TXN_100163,SOURCE_C,700.59,USD,2026-01-17 21:56:13,1,0.96,0.96,0.02,60,AUTO_RECONCILED,0,0
TXN_100164,SOURCE_A,358.76,USD,2026-01-12 11:22:05,2,0.58,0.58,0.7,126,OPS_REVIEW,0,0
TXN_100165,SOURCE_A,2884.65,USD,2026-01-08 06:35:14,0,0.96,0.96,0.41,357,OPS_REVIEW,0,0
TXN_100166,SOURCE_B,512.52,USD,2026-01-04 20:05:49,1,0.42,0.42,0.2,332,OPS_REVIEW,0,0
TXN_100167,SOURCE_C,1235.13,USD,2026-01-14 23:28:03,0,0.76,0.76,0.05,117,OPS_REVIEW,0,0
TXN_100168,SOURCE_B,1835.5,USD,2026-01-20 07:28:21,2,0.53,0.53,0.13,85,OPS_REVIEW,0,0
TXN_100169,SOURCE_A,3094.75,USD,2026-01-25 20:59:11,1,0.94,0.94,0.54,260,OPS_REVIEW,0,0
TXN_100170,SOURCE_C,772.3,USD,2026-01-10 04:36:43,0,0.77,0.77,0.14,354,OPS_REVIEW,1,500
TXN_100171,SOURCE_B,2462.77,USD,2026-01-24 12:52:36,1,0.54,0.54,0.66,214,OPS_REVIEW,0,0
TXN_100172,SOURCE_A,1670.36,USD,2026-01-19 21:50:21,0,0.86,0.86,0.76,163,EXCEPTION,1,2500
TXN_100173,SOURCE_B,4362.07,USD,2026-01-25 12:06:39,0,0.75,0.75,0.17,130,OPS_REVIEW,0,0
TXN_100174,SOURCE_A,4467.33,USD,2026-01-07 18:43:21,1,0.74,0.74,0.78,329,EXCEPTION,0,2000
TXN_100175,SOURCE_C,293.17,USD,2026-01-10 18:23:58,1,0.95,0.95,0.11,472,AUTO_RECONCILED,0,0
TXN_100176,SOURCE_B,2969.68,USD,2026-01-14 04:49:51,2,0.68,0.68,0.48,415,OPS_REVIEW,0,0
TXN_100177,SOURCE_B,1349.29,USD,2026-01-29 00:46:32,0,0.82,0.82,0.8,467,EXCEPTION,0,2000
TXN_100178,SOURCE_A,1085.99,USD,2026-01-09 23:23:19,2,0.78,0.78,0.84,379,EXCEPTION,0,2000
TXN_100179,SOURCE_B,125.57,USD,2026-01-11 18:24:45,3,0.7,0.7,0.31,147,OPS_REVIEW,0,0
TXN_100180,SOURCE_B,2418.82,USD,2026-01-18 11:26:27,2,0.54,0.54,0.22,442,OPS_REVIEW,0,0
TXN_100181,SOURCE_C,483.31,USD,2026-01-01 01:47:08,3,0.69,0.69,0.38,35,EXCEPTION,1,2500
TXN_100182,SOURCE_A,1905.62,USD,2026-01-26 17:28:20,0,0.73,0.73,0.62,93,OPS_REVIEW,0,0
TXN_100183,SOURCE_A,475.9,USD,2026-01-15 10:06:33,1,0.9,0.9,0.36,124,OPS_REVIEW,0,0
TXN_100184,SOURCE_C,3086.21,USD,2026-01-21 14:57:02,2,0.4,0.4,0.51,337,OPS_REVIEW,0,0
TXN_100185,SOURCE_A,2797.04,USD,2026-01-19 15:44:41,0,0.65,0.65,0.51,325,OPS_REVIEW,0,0
TXN_100186,SOURCE_B,729.78,USD,2026-01-17 15:22:06,0,0.89,0.89,0.05,287,OPS_REVIEW,0,0
TXN_100187,SOURCE_A,904.26,USD,2026-01-03 01:20:25,2,0.78,0.78,0.85,210,EXCEPTION,0,2000
TXN_100188,SOURCE_C,1349.18,USD,2026-01-12 15:40:08,3,0.72,0.72,0.23,86,OPS_REVIEW,0,0
TXN_100189,SOURCE_C,1149.75,USD,2026-01-29 05:28:28,0,0.67,0.67,0.64,28,EXCEPTION,0,2000
TXN_100190,SOURCE_B,354.14,USD,2026-01-31 02:45:42,0,0.68,0.68,0.86,456,EXCEPTION,0,2000
TXN_100191,SOURCE_A,1878.27,USD,2026-01-26 06:27:10,2,0.75,0.75,0.87,293,EXCEPTION,0,2000
TXN_100192,SOURCE_B,773.21,USD,2026-01-08 17:51:07,3,0.87,0.87,0.54,341,OPS_REVIEW,0,0
TXN_100193,SOURCE_A,642.78,USD,2026-01-20 17:21:25,0,0.46,0.46,0.94,211,EXCEPTION,0,2000
TXN_100194,SOURCE_B,713.98,USD,2026-01-09 04:28:56,2,0.57,0.57,0.07,454,OPS_REVIEW,0,0
TXN_100195,SOURCE_A,12350.23,USD,2026-01-25 20:23:18,0,0.2,0.2,0.63,15,EXCEPTION,0,2000
TXN_100196,SOURCE_B,1001.85,USD,2026-01-04 05:29:11,0,0.58,0.58,0.42,14,EXCEPTION,0,2000
TXN_100197,SOURCE_C,560.28,USD,2026-01-26 04:24:18,0,0.73,0.73,0.18,192,OPS_REVIEW,0,0
TXN_100198,SOURCE_C,2477.05,USD,2026-01-25 18:31:08,1,0.78,0.78,0.21,352,OPS_REVIEW,0,0
TXN_100199,SOURCE_A,11616.21,USD,2026-01-02 11:19:54,0,0.45,0.45,0.35,423,OPS_REVIEW,0,0
TXN_100200,SOURCE_B,228.83,USD,2026-01-14 09:22:44,0,0.87,0.87,0.06,414,OPS_REVIEW,0,0
TXN_100201,SOURCE_A,494.07,USD,2026-01-22 03:37:10,3,0.71,0.71,0.48,457,OPS_REVIEW,0,0
TXN_100202,SOURCE_A,1037.11,USD,2026-01-31 22:40:44,0,0.29,0.29,0.63,263,OPS_REVIEW,1,500
TXN_100203,SOURCE_B,884.07,USD,2026-01-23 21:00:54,2,0.51,0.51,0.2,184,OPS_REVIEW,0,0
TXN_100204,SOURCE_C,158.62,USD,2026-01-25 21:29:19,0,0.52,0.52,0.03,40,EXCEPTION,0,2000
TXN_100205,SOURCE_C,1194.0,USD,2026-01-13 11:43:59,0,0.53,0.53,0.4,258,OPS_REVIEW,0,0
TXN_100206,SOURCE_A,643.28,USD,2026-01-18 10:04:49,1,0.88,0.88,0.84,127,EXCEPTION,0,2000
TXN_100207,SOURCE_B,1539.87,USD,2026-01-16 00:02:25,0,0.73,0.73,0.11,158,OPS_REVIEW,0,0
TXN_100208,SOURCE_A,2077.34,USD,2026-01-28 10:03:33,0,0.61,0.61,0.42,141,OPS_REVIEW,0,0
TXN_100209,SOURCE_C,188.19,USD,2026-01-24 12:37:06,3,0.76,0.76,0.22,191,OPS_REVIEW,0,0
TXN_100210,SOURCE_A,273.02,USD,2026-01-21 00:54:07,2,0.71,0.71,0.08,29,EXCEPTION,0,2000
TXN_100211,SOURCE_A,3267.54,USD,2026-01-22 10:25:02,2,0.88,0.88,0.96,312,EXCEPTION,0,2000
